Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
Only_Best_Regime,0.6,10,-0.17144562211540615,-0.05609118252485368,-0.7119499090425153,-0.3288878866413609,-0.19166195109190964,0.3333333333333333,0.3959792307338215,9,0.12,-0.3124085033541204,0.14096288123871425
Only_Best_Regime,0.6,15,-0.18390454853884308,-0.06047052954386045,-0.738161092236284,-0.38151113708466855,-0.21067444852910266,0.42857142857142855,0.4063914835954691,7,0.1375,-0.3124085033541204,0.12850395481527732
Only_Best_Regime,0.6,20,-0.16334773783231693,-0.053269172467724335,-0.6066757872922643,-0.3153424842641086,-0.19319103425783224,0.3333333333333333,0.18893668757154194,6,0.14,-0.3124085033541204,0.14906076552180347
Only_Best_Regime,0.65,5,-0.13281247052315037,-0.04279521973444622,-0.6201978229577044,-0.26488636818123784,-0.15397142984816792,0.42857142857142855,0.5733052203129174,14,0.10375,-0.3124085033541204,0.17959603283097003
Only_Best_Regime,0.65,10,-0.17144562211540615,-0.05609118252485368,-0.7119499090425153,-0.3288878866413609,-0.19166195109190964,0.3333333333333333,0.3959792307338215,9,0.12,-0.3124085033541204,0.14096288123871425
Only_Best_Regime,0.65,15,-0.19297053899751904,-0.06368646376285436,-0.7840335314821832,-0.4031151702785197,-0.2126616703376384,0.42857142857142855,0.39343719944428146,7,0.135,-0.3124085033541204,0.11943796435660137
Only_Best_Regime,0.65,20,-0.16334773783231693,-0.053269172467724335,-0.6066757872922643,-0.3153424842641086,-0.19319103425783224,0.3333333333333333,0.18893668757154194,6,0.14,-0.3124085033541204,0.14906076552180347
Only_Best_Regime,0.7,5,-0.019101223513151355,-0.005902022378868721,-0.07948613397271242,-0.0320427981932593,-0.10800789694280721,0.5833333333333334,0.9182790312491259,12,0.085,-0.3124085033541204,0.29330727984096905
Only_Best_Regime,0.7,10,-0.07188478446114432,-0.02263685347305555,-0.31337474318366443,-0.14804665920238338,-0.17041600654496902,0.375,0.6692926825766332,8,0.1075,-0.3124085033541204,0.24052371889297608
Only_Best_Regime,0.7,15,-0.12014265933541246,-0.03852432472880185,-0.4960098784925567,-0.27188989326929325,-0.2112658334393266,0.42857142857142855,0.5401154697461943,7,0.13125,-0.3124085033541204,0.19226584401870794
Only_Best_Regime,0.7,20,-0.133882144832984,-0.04315777347638816,-0.49535728402489076,-0.2448463017586021,-0.1836655762126923,0.3333333333333333,0.2544027605411474,6,0.13375,-0.3124085033541204,0.1785263585211364
Only_Best_Regime,0.75,5,-0.025965089682357667,-0.008042314598523115,-0.17656441979194673,-0.065067496911057,-0.07738788618119419,0.5555555555555556,0.8448915628977818,9,0.0625,-0.3124085033541204,0.28644341367176274
Only_Best_Regime,0.75,10,-0.08447036929730689,-0.026724021032850986,-0.4658819481163834,-0.185674950383332,-0.12462756888468951,0.3333333333333333,0.36452353697801454,6,0.08,-0.3124085033541204,0.2279381340568135
Only_Best_Regime,0.75,15,-0.08536927345476175,-0.02701742641352667,-0.4552516369859985,-0.19962769824347357,-0.1283404502534672,0.4,0.38597305142733596,5,0.09125,-0.3124085033541204,0.22703922989935865
Only_Best_Regime,0.75,20,-0.05190800733330336,-0.0162275567971345,-0.2536504164508065,-0.11113715628588546,-0.12582150972572748,0.25,0.29958079298424367,4,0.09,-0.3124085033541204,0.26050049602081704
Only_Best_Regime,0.8,5,-0.06410893791424965,-0.020130812093519856,-0.4784095171050676,-0.16716689405703972,-0.08694423044580402,0.4444444444444444,0.5815444726344525,9,0.06125,-0.3124085033541204,0.24829956543987075
